Geneid	Samtools sort on 309(S)
63931	694
63923	25
9674	2024
7143	1
101928727	0
101928751	0
64326	866
677679	0
60676	2
460	0
574441	0
57795	57
102724661	3
101928778	0
89866	168
730102	169
100302401	5
9462	740
400797	4
84066	3
105373472	3
400798	39
100616328	0
55103	2176
9068	48
9917	2145
64222	792
27	1129
6646	951
126859	7
7827	0
163589	160
148753	1
163590	1346
26092	1638
9857	1816
5768	4942
200058	1268
89884	17
100527964	47
84320	463
100423032	0
148756	0
9213	898
57710	69
10228	1218
3140	797
51278	857
101928973	0
100287948	0
777	3
127665	0
400799	0
2752	14879
127670	0
388719	0
353299	0
6041	289
6004	254
284648	0
85397	1
80896	638
1660	3835
81626	0
3915	4864
3918	208
23057	34
284649	18
9887	2389
4688	424
10092	3146
23179	456
403314	1
23127	9
116461	409
102724846	0
81563	1126
80267	1845
116496	2263
101929069	0
6045	577
81627	718
54823	121
10625	2081
100288079	0
101929093	0
83872	751
10216	1
7175	2871
54953	795
10896	14
102724919	1
5132	2
5743	26
103752588	0
5321	114
104169671	0
101929766	0
339479	1
101929120	0
440704	0
64407	60
431704	0
5996	305
6003	8
100616345	33
5997	180
102724954	0
51377	896
6738	611
51022	182
79577	1141
100302163	0
8707	1
101929184	0
343450	31
100616363	0
3075	1881
10878	0
3078	0
10877	0
3080	0
81494	0
2165	0
259266	325
360023	1464
23418	2
163486	1776
388722	28
56956	0
140609	2074
127124	0
5788	1046
100131234	0
406955	0
406995	0
102800316	0
104266961	0
400800	0
2494	70
554279	0
23528	884
9928	71
83479	322
101929224	1
23271	1137
2848	1
55765	41
23046	154
779	0
647219	1
252839	2011
91156	1
5317	1333
7139	8
3898	416
7135	10
23612	1299
1465	4216
376693	27
89796	1203
100873949	3
100847050	0
100302158	0
55705	1587
102466724	1
149345	374
25802	559
10440	1030
6051	2088
102465443	0
1999	2179
9283	8
127829	1026
5778	68
148713	7
59352	20
29089	175
4660	824
127833	11
10765	2883
100506696	55
641515	6
148709	2
5877	218
59349	958
51094	3125
51706	1908
100506747	0
92703	1083
8497	96
4656	2
134	327
4608	2
1116	577
1118	727
100506775	3
730227	5
7832	2695
2331	2967
5549	1365
26254	0
493	3026
677843	1
84719	9
54900	16
9877	4252
100381270	714
6635	943
284573	0
9580	724
55224	184
101929441	0
5972	0
3814	0
127845	38
22874	1126
127841	0
84919	1705
5287	1192
100189122	0
100189425	0
4194	712
10446	460
23114	136
6900	5
388730	34
5929	732
25778	799
9911	26
81788	117
55220	25
284576	0
93273	0
101669762	0
105371697	0
442891	0
100189098	0
5129	269
284578	3
148808	22
2005	1177
85414	105
64710	6615
8934	289
254428	456
148811	0
284581	48
115019	6
103021296	1
103021295	1
338382	76
1510	0
440712	28
553	0
729533	17
23380	763
9641	224
102466202	0
83593	386
1939	592
8444	133
9261	3082
3586	30
29949	0
50604	6
11009	3
9214	81
5284	2
83953	0
79098	119
5208	410
55432	323
725	0
722	0
1604	2244
1380	0
1378	50
1379	0
4179	7460
407026	72
407025	24
148696	30
947	1329
105372883	20
5362	444
642587	192
406988	4
57172	7
3914	157
100422894	0
50486	29
3290	34
80342	120
148304	92
3664	1540
27042	664
255928	0
574036	48
56256	618
105373474	8
55733	391
3756	22
55758	943
7188	600
84791	104
343035	3
7779	491
4751	196
9926	1468
102723727	0
25896	384
51514	213
100131205	25
100422947	0
101929541	6
5525	2504
692157	3
55248	322
29937	1343
101929565	4
467	242
149647	0
55509	23
25936	564
128387	257
149643	0
642946	1
28982	406
79805	39
90806	924
26750	563
100505832	0
100861504	0
5629	19
105372911	0
56950	831
5784	1306
1063	760
3776	157
101929612	0
51133	2381
7399	2
102723833	0
2104	10
55105	399
128153	48
103752555	0
100885798	0
101929631	0
51018	530
728463	0
7042	673
103611157	0
643723	0
127018	432
102723886	2
55532	0
2058	3500
10380	591
55699	3951
406997	2
406969	0
25782	1429
100302234	0
677818	0
6791	3
4139	68
79762	614
54996	326
64757	69
101929730	8
100873924	1
105373280	2
3142	112
400804	0
11221	170
101929771	14
100189378	0
79802	104
9015	180
100506161	41
375056	2668
64853	1080
148362	1390
400823	10
84976	202
7100	199
55061	1296
164127	0
388743	702
824	5056
7159	766
105369195	87
441124	15
23219	1169
8560	1958
101927143	3
101927164	18
4931	571
100313769	0
29097	618
80232	3639
100616468	0
149111	97
127602	152
3930	507
55740	3661
6726	7542
2052	1383
9725	1275
10637	4
29920	1162
102466270	0
7044	0
163859	783
3020	6944
64746	2292
83881	2
286826	137
142	4295
375057	3237
3707	838
100506443	1
5664	445
56997	547
105379282	7
8476	1454
339500	390
100130093	42
65094	176
116841	639
105373289	8
339501	0
7483	243
100847072	0
101060022	2
89780	6
100506571	4
375	10182
100500810	0
79169	442
128308	450
2987	2947
57165	35
574432	0
200205	201
574407	3
84033	517
