Geneid	Samtools sort on 310(R)
100847090	0
9970	10
654790	8
4359	13
6391	1982
257177	122
100189373	7
100189407	9
100189402	0
100188997	0
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	0
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	725
100189380	0
3310	70
100189018	0
100189011	0
100189126	0
2214	1536
9103	60
3311	133
100189003	0
2215	18
2213	109
641311	0
84824	37
127943	88
11266	329
102724329	3
22926	1623
25903	746
9722	170
100616386	0
693141	0
284680	1
400793	518
117157	21
127933	8666
6675	1457
4921	1060
51478	261
339512	1
5999	89
8490	2389
101928404	0
83540	360
100422212	0
5087	14161
100505795	1
4009	1
6258	6
400794	0
440699	3
4259	763
223	2065
440700	1
54499	2146
100147773	13
7371	1076
100500832	0
149297	24
100126349	0
116123	0
57645	1815
117143	340
387597	15
84944	2
10223	5
92235	9
101928484	0
5451	1010
919	216
8804	3011
92241	595
100189211	0
100189019	0
9019	1821
55811	7
25874	807
55827	1807
100313835	0
23432	127
261726	1508
375035	148
84832	192
9095	26
693142	0
100505918	0
101928565	0
6846	24
6375	23
1805	386
79100	0
101978719	0
101928596	28
481	734
29922	89
8548	813
57821	8
10560	1075
2153	30
6403	188
6402	725
6401	76
92342	159
55732	221
57147	413
22920	488
149281	2
100423010	0
100422839	0
284688	0
101928650	7
92344	261
5396	846
80133	0
2328	72
100302178	0
100847009	0
388714	4
2327	410
2326	264
2329	54
7151	10
23215	5403
4653	2
8674	344
51603	1001
26052	59
100874284	0
100628315	121
406996	0
100422882	0
406977	0
102724541	3
92346	0
5279	417
51430	2451
356	64
8995	8
7292	84
100506023	15
101928673	11
9588	3977
284525	2
730159	0
339416	4
27252	394
91687	292
55157	877
100506046	9
60674	1309
26769	3
26802	11
26774	52
26770	12
692198	6
26806	23
692197	13
692196	8
692195	0
619498	16
84614	99
462	3
149041	1111
102724601	0
9910	507
9293	0
101928696	0
27101	1914
63931	477
63923	134
9674	2518
7143	2
101928727	0
101928751	0
64326	1034
677679	0
60676	11
460	10
574441	0
57795	6
102724661	0
101928778	0
89866	67
730102	242
100302401	16
9462	588
400797	0
84066	0
105373472	3
400798	15
100616328	0
55103	1677
9068	95
9917	2413
64222	1439
27	1012
6646	909
126859	0
7827	0
163589	227
148753	1
163590	1294
26092	1523
9857	1928
5768	1171
200058	239
89884	21
100527964	91
84320	615
100423032	0
148756	1
9213	915
57710	42
10228	1820
3140	577
51278	1495
101928973	0
100287948	0
777	7
127665	17
400799	5
2752	20213
127670	1
388719	0
353299	0
6041	547
6004	1856
284648	2
85397	31
80896	455
1660	5001
81626	0
3915	4112
3918	97
23057	32
284649	33
9887	4456
4688	270
10092	3572
23179	606
403314	0
23127	9
116461	534
102724846	0
81563	793
80267	2058
116496	967
101929069	0
6045	495
81627	629
54823	129
10625	1732
100288079	0
101929093	0
83872	276
10216	106
